,תאריך ביקור,יישוב,Date,Time,Hour,x,y
228,2020-02-25 11:12:00,ערערה,2020-02-25,11:12:00,11,208681.0,711765.0
229,2020-02-27 08:48:00,אום אל-פחם,2020-02-27,08:48:00,8,214505.0,714034.0
230,2020-02-27 09:37:00,ערערה,2020-02-27,09:37:00,9,208681.0,711765.0
231,2020-02-27 09:38:00,פרדס חנה-כרכור,2020-02-27,09:38:00,9,197945.0,708805.0
232,2020-02-27 10:13:00,כפר פינס,2020-02-27,10:13:00,10,200463.0,710002.0
233,2020-02-27 10:47:00,חדרה,2020-02-27,10:47:00,10,192540.0,704671.0
234,2020-03-03 09:06:00,חדרה,2020-03-03,09:06:00,9,192540.0,704671.0
235,2020-03-03 09:33:00,ערערה,2020-03-03,09:33:00,9,208681.0,711765.0
236,2020-03-03 11:19:00,פרדס חנה-כרכור,2020-03-03,11:19:00,11,197945.0,708805.0
237,2020-03-05 08:37:00,אור עקיבא,2020-03-05,08:37:00,8,192712.0,712692.0
238,2020-03-05 09:19:00,חדרה,2020-03-05,09:19:00,9,192540.0,704671.0
239,2020-03-05 09:33:00,אור עקיבא,2020-03-05,09:33:00,9,192712.0,712692.0
240,2020-03-05 09:41:00,חדרה,2020-03-05,09:41:00,9,192540.0,704671.0
241,2020-03-05 09:43:00,חדרה,2020-03-05,09:43:00,9,192540.0,704671.0
242,2020-03-05 11:21:00,פוריידיס,2020-03-05,11:21:00,11,195797.0,722658.0
243,2020-03-05 11:23:00,פוריידיס,2020-03-05,11:23:00,11,195797.0,722658.0
244,2020-03-09 11:28:00,אור עקיבא,2020-03-09,11:28:00,11,192712.0,712692.0
245,2020-03-09 11:29:00,אור עקיבא,2020-03-09,11:29:00,11,192712.0,712692.0
246,2020-03-09 11:32:00,חדרה,2020-03-09,11:32:00,11,192540.0,704671.0
247,2020-03-12 09:11:00,קלנסווה,2020-03-12,09:11:00,9,198032.0,688339.0
248,2020-03-12 10:36:00,ג'סר א-זרקא,2020-03-12,10:36:00,10,191963.0,715851.0
249,2020-03-12 10:45:00,אור עקיבא,2020-03-12,10:45:00,10,192712.0,712692.0
250,2020-03-23 12:41:00,פרדס חנה-כרכור,2020-03-23,12:41:00,12,197945.0,708805.0
251,2020-03-26 08:59:00,אור עקיבא,2020-03-26,08:59:00,8,192712.0,712692.0
252,2020-04-20 11:01:00,חריש,2020-04-20,11:01:00,11,204728.0,707386.0
253,2020-04-20 11:02:00,חריש,2020-04-20,11:02:00,11,204728.0,707386.0
254,2020-04-21 09:11:00,חדרה,2020-04-21,09:11:00,9,192540.0,704671.0
255,2020-04-21 09:28:00,ג'סר א-זרקא,2020-04-21,09:28:00,9,191963.0,715851.0
256,2020-04-23 08:47:00,בנימינה-גבעת עדה,2020-04-23,08:47:00,8,196683.0,714176.0
257,2020-04-23 08:52:00,פוריידיס,2020-04-23,08:52:00,8,195797.0,722658.0
258,2020-04-23 09:02:00,פרדס חנה-כרכור,2020-04-23,09:02:00,9,197945.0,708805.0
259,2020-04-23 10:02:00,חדרה,2020-04-23,10:02:00,10,192540.0,704671.0
260,2020-04-27 11:37:00,פרדס חנה-כרכור,2020-04-27,11:37:00,11,197945.0,708805.0
261,2020-04-30 08:45:00,חדרה,2020-04-30,08:45:00,8,192540.0,704671.0
262,2020-04-30 10:39:00,חדרה,2020-04-30,10:39:00,10,192540.0,704671.0
263,2020-05-04 08:40:00,ג'סר א-זרקא,2020-05-04,08:40:00,8,191963.0,715851.0
264,2020-05-04 08:49:00,ג'סר א-זרקא,2020-05-04,08:49:00,8,191963.0,715851.0
265,2020-05-05 08:35:00,חדרה,2020-05-05,08:35:00,8,192540.0,704671.0
266,2020-05-05 09:53:00,כפר יונה,2020-05-05,09:53:00,9,193910.0,691326.0
267,2020-05-05 09:56:00,חדרה,2020-05-05,09:56:00,9,192540.0,704671.0
268,2020-05-05 10:38:00,ג'ת,2020-05-05,10:38:00,10,203558.0,700670.0
269,2020-05-05 10:42:00,בנימינה-גבעת עדה,2020-05-05,10:42:00,10,196683.0,714176.0
270,2020-05-07 09:17:00,אור עקיבא,2020-05-07,09:17:00,9,192712.0,712692.0
271,2020-05-07 11:15:00,חדרה,2020-05-07,11:15:00,11,192540.0,704671.0
272,2020-05-11 08:56:00,פרדס חנה-כרכור,2020-05-11,08:56:00,8,197945.0,708805.0
273,2020-05-11 10:21:00,אור עקיבא,2020-05-11,10:21:00,10,192712.0,712692.0
274,2020-05-11 11:16:00,פרדס חנה-כרכור,2020-05-11,11:16:00,11,197945.0,708805.0
275,2020-05-12 08:52:00,חדרה,2020-05-12,08:52:00,8,192540.0,704671.0
276,2020-05-12 10:48:00,ג'סר א-זרקא,2020-05-12,10:48:00,10,191963.0,715851.0
277,2020-05-12 10:52:00,חדרה,2020-05-12,10:52:00,10,192540.0,704671.0
278,2020-05-14 08:20:00,חדרה,2020-05-14,08:20:00,8,192540.0,704671.0
279,2020-05-14 09:00:00,ג'סר א-זרקא,2020-05-14,09:00:00,9,191963.0,715851.0
280,2020-05-14 09:01:00,ג'סר א-זרקא,2020-05-14,09:01:00,9,191963.0,715851.0
281,2020-05-14 09:48:00,ג'סר א-זרקא,2020-05-14,09:48:00,9,191963.0,715851.0
282,2020-05-14 10:54:00,חדרה,2020-05-14,10:54:00,10,192540.0,704671.0
283,2020-05-14 12:02:00,חדרה,2020-05-14,12:02:00,12,192540.0,704671.0
284,2020-05-14 12:38:00,פרדס חנה-כרכור,2020-05-14,12:38:00,12,197945.0,708805.0
285,2020-05-18 08:16:00,חדרה,2020-05-18,08:16:00,8,192540.0,704671.0
286,2020-05-18 09:19:00,פרדס חנה-כרכור,2020-05-18,09:19:00,9,197945.0,708805.0
